%time,field.joint1,field.joint2,field.joint3,field.joint4,field.joint5,field.joint6
1407435869943968104,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944021659,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944059747,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944112243,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944157016,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944180574,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944207437,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944247369,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944295904,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944333828,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944374358,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944420005,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944460448,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944494928,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944529981,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944564990,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944605721,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944648055,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944689332,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944722105,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944762090,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944805299,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944883952,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944892511,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944927687,0.0,0.0,10.0,0.0,0.0,0.0
1407435869944966449,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945012481,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945050685,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945092935,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945128547,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945167081,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945211536,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945260099,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945295361,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945331842,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945366487,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945398743,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945436214,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945479451,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945515613,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945555208,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945598411,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945634720,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945669436,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945709242,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945739027,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945774610,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945814640,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945860837,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945893982,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945932626,0.0,0.0,10.0,0.0,0.0,0.0
1407435869945974517,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946011100,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946045764,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946087190,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946117759,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946156387,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946193285,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946237090,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946270937,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946310079,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946353283,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946391686,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946423784,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946462051,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946492632,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946525098,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946563577,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946606071,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946642535,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946682200,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946725592,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946762142,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946798692,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946836627,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946886539,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946922004,0.0,0.0,10.0,0.0,0.0,0.0
1407435869946961424,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947008375,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947043150,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947083011,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947125628,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947160984,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947196989,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947234641,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947267733,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947301987,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947337989,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947380686,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947419041,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947456721,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947498701,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947534669,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947570299,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947608316,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947638500,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947675050,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947711937,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947754323,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947789469,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947828752,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947871552,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947907056,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947942397,0.0,0.0,10.0,0.0,0.0,0.0
1407435869947980410,0.0,0.0,10.0,0.0,0.0,0.0
1407435869948010581,0.0,0.0,10.0,0.0,0.0,0.0
1407435869948047648,0.0,0.0,10.0,0.0,0.0,0.0
1407435869948084056,0.0,0.0,10.0,0.0,0.0,0.0
