%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5
1407768870684071844,1152,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768870780878785,1153,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768870880870545,1154,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768870980923319,1155,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768871080869598,1156,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768871180890846,1157,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768871279913240,1158,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768871380972570,1159,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768871480893302,1160,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768871580934759,1161,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768871680916446,1162,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768871780957325,1163,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768871880896499,1164,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768871980917403,1165,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768872080923301,1166,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768872180871329,1167,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768872280850537,1168,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768872380858765,1169,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768872481017769,1170,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768872580933166,1171,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768872680879306,1172,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768872780925857,1173,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768872881110834,1174,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768872980894916,1175,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768873080886102,1176,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768873180944449,1177,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.7393264869,-1.73224780472,0.701778766753,-0.812458543234,1.51792538862,3.1367638099
1407768873280864667,1178,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.74107192268,-1.73224780472,0.700033464132,-0.812458543234,1.51530736811,3.1367638099
1407768873380921299,1179,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.76725345935,-1.7339932405,0.679089832688,-0.830783754695,1.46556497843,3.10272941012
1407768873481118021,1180,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.81438022537,-1.73573867628,0.64418378028,-0.833401642046,1.41320456824,3.08702128706
