%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5
1407442588457060838,2224,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.03015060215,-1.743051184,0.710658012143,-0.818597129546,1.51816587207,3.13646234007
1407442588556041374,2225,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.03015060215,-1.743051184,0.710658012143,-0.818597129546,1.51816587207,3.13646234007
1407442588656859351,2226,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.03015060215,-1.743051184,0.710658012143,-0.818597129546,1.51816587207,3.13646234007
1407442588755848854,2227,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.03015060215,-1.743051184,0.710658012143,-0.818597129546,1.51816587207,3.13646234007
1407442588857033028,2228,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.03015060215,-1.743051184,0.710658012143,-0.818597129546,1.51816587207,3.13646234007
1407442588955862680,2229,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.03015060215,-1.743051184,0.710658012143,-0.818597129546,1.51816587207,3.13646234007
1407442589056878429,2230,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.03015060215,-1.743051184,0.710658012143,-0.818597129546,1.51816587207,3.13646234007
1407442589156018262,2231,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.03015060215,-1.743051184,0.710658012143,-0.818597129546,1.51816587207,3.13646234007
1407442589256977376,2232,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.03015060215,-1.743051184,0.710658012143,-0.818597129546,1.51816587207,3.13646234007
1407442589355847477,2233,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.03015060215,-1.743051184,0.710658012143,-0.818597129546,1.51816587207,3.13646234007
1407442589456873681,2234,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.03015060215,-1.743051184,0.710658012143,-0.818597129546,1.51816587207,3.13646234007
1407442589555847393,2235,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.03015060215,-1.743051184,0.710658012143,-0.818597129546,1.51816587207,3.13646234007
1407442589656930829,2236,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.03015060215,-1.743051184,0.710658012143,-0.818597129546,1.51816587207,3.13646234007
1407442589755845936,2237,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.03015060215,-1.743051184,0.710658012143,-0.818597129546,1.51816587207,3.13646234007
1407442589856981810,2238,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.03015060215,-1.743051184,0.710658012143,-0.818597129546,1.51816587207,3.13646234007
1407442589955852161,2239,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.03015060215,-1.743051184,0.710658012143,-0.818597129546,1.51816587207,3.13646234007
1407442590056868708,2240,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.03015060215,-1.743051184,0.710658012143,-0.818597129546,1.51816587207,3.13646234007
