%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5
1407435320261787753,402,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435320360903597,403,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435320461826274,404,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435320560720352,405,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435320660728506,406,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435320760803538,407,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435320861916932,408,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435320960889435,409,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435321061733763,410,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435321160734105,411,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435321261815814,412,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435321360734920,413,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435321461724012,414,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435321560859004,415,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435321661786718,416,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435321760887522,417,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435321861865975,418,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435321960880117,419,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435322061703705,420,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435322160697661,421,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435322260846015,422,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435322360744786,423,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435322461713443,424,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435322560703977,425,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
1407435322660870215,426,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.74130574822,0.701931499041,-0.818597129546,1.19091330837,3.61524331031
