%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5
1407435624499750320,1438,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.73956031244,0.701931499041,-0.818597129546,1.51031181054,3.14692749789
1407435624599890908,1439,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.73956031244,0.701931499041,-0.818597129546,1.51031181054,3.14692749789
1407435624699750396,1440,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.73956031244,0.701931499041,-0.818597129546,1.51031181054,3.14692749789
1407435624799803916,1441,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.73956031244,0.701931499041,-0.818597129546,1.51031181054,3.14692749789
1407435624900892792,1442,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.73956031244,0.701931499041,-0.818597129546,1.51031181054,3.14692749789
1407435624999835117,1443,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.73956031244,0.701931499041,-0.818597129546,1.51031181054,3.14692749789
1407435625099765007,1444,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.73956031244,0.701931499041,-0.818597129546,1.51031181054,3.14692749789
1407435625199785682,1445,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.73956031244,0.701931499041,-0.818597129546,1.51031181054,3.14692749789
1407435625300844751,1446,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.73956031244,0.701931499041,-0.818597129546,1.51031181054,3.14692749789
1407435625399833565,1447,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.72993564826,-1.73956031244,0.701931499041,-0.818597129546,1.51031181054,3.14692749789
