%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5
1407776789066896032,319,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776789166728332,320,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776789266749815,321,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776789365910390,322,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776789465756835,323,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776789566848849,324,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776789666833942,325,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776789766844034,326,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776789865816427,327,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776789965671294,328,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776790066762017,329,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776790166859093,330,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776790265764084,331,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776790366705144,332,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776790466909093,333,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776790566704449,334,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776790666734657,335,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776790766833054,336,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776790865783736,337,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776790966767891,338,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776791065752280,339,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776791165698613,340,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776791266847445,341,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776791366666799,342,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776791466712190,343,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776791566799399,344,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776791666815389,345,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776791766697473,346,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776791866682416,347,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776791966683739,348,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776792066703820,349,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407776792166680416,350,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.74170895081,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13521491541
1407776792266884647,351,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.76439801803,-1.74348368136,0.678240151142,-0.833084725876,1.46563129114,3.10118078194
1407776792365721597,352,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.82199313766,-1.74348368136,0.645079401355,-0.833084725876,1.41327088095,3.08809054624
1407776792465705976,353,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.88831437092,-1.74348368136,0.634607585632,-0.833084725876,1.40803483993,3.08547239257
1407776792566839809,354,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.93892828007,-1.74871998869,0.618899862049,-0.846174162634,1.38447265534,3.06452822849
1407776792666861873,355,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.00001373863,-1.75570173181,0.573521993919,-0.851409937337,1.31116808107,3.03311198238
1407776792766732046,356,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.06633497188,-1.75744716759,0.550833059854,-0.851409937337,1.290223917,3.03049409503
1407776792866771035,357,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.1361470767,-1.75744716759,0.547342454613,-0.851409937337,1.28760589649,3.03049409503
1407776792965708589,358,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.20421427837,-1.75744716759,0.545597151993,-0.854027824689,1.28760589649,3.03049409503
1407776793068771891,359,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.27402638318,-1.75744716759,0.545597151993,-0.854027824689,1.28760589649,3.03049409503
1407776793166788957,360,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.343838488,-1.75744716759,0.543851849372,-0.854027824689,1.28760589649,3.03049409503
1407776793265817441,361,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.41365059281,-1.75744716759,0.543851849372,-0.854027824689,1.28760589649,3.03049409503
1407776793366664392,362,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.48171726185,-1.75744716759,0.543851849372,-0.854027824689,1.28760589649,3.03049409503
1407776793466827603,363,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.55152936667,-1.75744716759,0.543851849372,-0.854027824689,1.28760589649,3.03049409503
1407776793571643703,364,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.61436079363,-1.75744716759,0.543851849372,-0.854027824689,1.28760589649,3.03049409503
1407776793666667182,365,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.65101281445,-1.76268347492,0.53512533627,-0.864499374095,1.27189777343,3.0121678183
1407776793766829462,366,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.70511812779,-1.77490152537,0.48974746814,-0.869735148798,1.20121121967,2.97813368484
1407776793866798816,367,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.77318639472,-1.77664696115,0.465313231455,-0.869735148798,1.17503101458,2.97289764382
1407776793966686835,368,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.84125466166,-1.77664696115,0.460077323594,-0.869735148798,1.17503101458,2.97289764382
1407776794066770975,369,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.91106783174,-1.77664696115,0.458332020973,-0.87235303615,1.17503101458,2.97289764382
1407776794166697272,370,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.97913609867,-1.77664696115,0.458332020973,-0.87235303615,1.17503101458,2.97289764382
1407776794266748632,371,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-3.04894926875,-1.77664696115,0.456586718353,-0.87235303615,1.17241299407,2.97289764382
