%time,field.joint1,field.joint2,field.joint3,field.joint4,field.joint5,field.joint6
1407432756375661071,0.0,0.0,0.0,0.0,0.0,10.0
1407432756375720594,0.0,0.0,0.0,0.0,0.0,10.0
1407432756375782414,0.0,0.0,0.0,0.0,0.0,10.0
1407432756375844878,0.0,0.0,0.0,0.0,0.0,10.0
1407432756375903609,0.0,0.0,0.0,0.0,0.0,10.0
1407432756375962110,0.0,0.0,0.0,0.0,0.0,10.0
1407432756376021529,0.0,0.0,0.0,0.0,0.0,10.0
1407432756376101821,0.0,0.0,0.0,0.0,0.0,10.0
1407432756376164849,0.0,0.0,0.0,0.0,0.0,10.0
1407432756376217605,0.0,0.0,0.0,0.0,0.0,10.0
1407432756376256191,0.0,0.0,0.0,0.0,0.0,10.0
1407432756376295018,0.0,0.0,0.0,0.0,0.0,10.0
1407432756376343144,0.0,0.0,0.0,0.0,0.0,10.0
1407432756376377448,0.0,0.0,0.0,0.0,0.0,10.0
1407432756376423668,0.0,0.0,0.0,0.0,0.0,10.0
1407432756376474055,0.0,0.0,0.0,0.0,0.0,10.0
1407432756376530074,0.0,0.0,0.0,0.0,0.0,10.0
1407432756376571781,0.0,0.0,0.0,0.0,0.0,10.0
1407432756376615660,0.0,0.0,0.0,0.0,0.0,10.0
1407432756376651366,0.0,0.0,0.0,0.0,0.0,10.0
1407432756376689147,0.0,0.0,0.0,0.0,0.0,10.0
1407432756376725303,0.0,0.0,0.0,0.0,0.0,10.0
1407432756376760334,0.0,0.0,0.0,0.0,0.0,10.0
1407432756376795520,0.0,0.0,0.0,0.0,0.0,10.0
1407432756376843259,0.0,0.0,0.0,0.0,0.0,10.0
1407432756376895520,0.0,0.0,0.0,0.0,0.0,10.0
1407432756376941603,0.0,0.0,0.0,0.0,0.0,10.0
1407432756376977722,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377012796,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377046820,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377095208,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377128424,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377163068,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377198406,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377241409,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377292734,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377349641,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377388328,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377420401,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377454764,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377490078,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377525736,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377560734,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377609319,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377647299,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377694351,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377739501,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377776323,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377811233,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377861764,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377895823,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377933665,0.0,0.0,0.0,0.0,0.0,10.0
1407432756377977802,0.0,0.0,0.0,0.0,0.0,10.0
1407432756378011496,0.0,0.0,0.0,0.0,0.0,10.0
1407432756378054876,0.0,0.0,0.0,0.0,0.0,10.0
1407432756378190565,0.0,0.0,0.0,0.0,0.0,10.0
1407432756378285019,0.0,0.0,0.0,0.0,0.0,10.0
1407432756378421602,0.0,0.0,0.0,0.0,0.0,10.0
1407432756378499332,0.0,0.0,0.0,0.0,0.0,10.0
1407432756378562975,0.0,0.0,0.0,0.0,0.0,10.0
1407432756378635805,0.0,0.0,0.0,0.0,0.0,10.0
1407432756378698500,0.0,0.0,0.0,0.0,0.0,10.0
1407432756378762207,0.0,0.0,0.0,0.0,0.0,10.0
1407432756378825512,0.0,0.0,0.0,0.0,0.0,10.0
1407432756378898717,0.0,0.0,0.0,0.0,0.0,10.0
1407432756378961085,0.0,0.0,0.0,0.0,0.0,10.0
1407432756379024597,0.0,0.0,0.0,0.0,0.0,10.0
1407432756379086752,0.0,0.0,0.0,0.0,0.0,10.0
1407432756379157695,0.0,0.0,0.0,0.0,0.0,10.0
1407432756379219902,0.0,0.0,0.0,0.0,0.0,10.0
1407432756379282380,0.0,0.0,0.0,0.0,0.0,10.0
1407432756379355818,0.0,0.0,0.0,0.0,0.0,10.0
1407432756379418145,0.0,0.0,0.0,0.0,0.0,10.0
1407432756379470260,0.0,0.0,0.0,0.0,0.0,10.0
1407432756379522077,0.0,0.0,0.0,0.0,0.0,10.0
1407432756379572931,0.0,0.0,0.0,0.0,0.0,10.0
1407432756379638179,0.0,0.0,0.0,0.0,0.0,10.0
1407432756379688577,0.0,0.0,0.0,0.0,0.0,10.0
1407432756379740457,0.0,0.0,0.0,0.0,0.0,10.0
1407432756379791377,0.0,0.0,0.0,0.0,0.0,10.0
1407432756379851210,0.0,0.0,0.0,0.0,0.0,10.0
1407432756379902656,0.0,0.0,0.0,0.0,0.0,10.0
1407432756379953897,0.0,0.0,0.0,0.0,0.0,10.0
1407432756380005710,0.0,0.0,0.0,0.0,0.0,10.0
1407432756380057011,0.0,0.0,0.0,0.0,0.0,10.0
1407432756380121924,0.0,0.0,0.0,0.0,0.0,10.0
1407432756380184203,0.0,0.0,0.0,0.0,0.0,10.0
1407432756380226158,0.0,0.0,0.0,0.0,0.0,10.0
1407432756380278978,0.0,0.0,0.0,0.0,0.0,10.0
1407432756380329725,0.0,0.0,0.0,0.0,0.0,10.0
1407432756380386631,0.0,0.0,0.0,0.0,0.0,10.0
1407432756380438333,0.0,0.0,0.0,0.0,0.0,10.0
1407432756380488869,0.0,0.0,0.0,0.0,0.0,10.0
1407432756380539820,0.0,0.0,0.0,0.0,0.0,10.0
1407432756380592042,0.0,0.0,0.0,0.0,0.0,10.0
1407432756380649247,0.0,0.0,0.0,0.0,0.0,10.0
1407432756380700629,0.0,0.0,0.0,0.0,0.0,10.0
1407432756380751840,0.0,0.0,0.0,0.0,0.0,10.0
1407432756380802630,0.0,0.0,0.0,0.0,0.0,10.0
1407432756380865224,0.0,0.0,0.0,0.0,0.0,10.0
1407432756380915741,0.0,0.0,0.0,0.0,0.0,10.0
1407432756380966187,0.0,0.0,0.0,0.0,0.0,10.0
1407432756381016400,0.0,0.0,0.0,0.0,0.0,10.0
1407432756381066299,0.0,0.0,0.0,0.0,0.0,10.0
1407432756381128139,0.0,0.0,0.0,0.0,0.0,10.0
1407432756381178732,0.0,0.0,0.0,0.0,0.0,10.0
1407432756381228999,0.0,0.0,0.0,0.0,0.0,10.0
1407432756381279707,0.0,0.0,0.0,0.0,0.0,10.0
1407432756381329711,0.0,0.0,0.0,0.0,0.0,10.0
1407432756381392978,0.0,0.0,0.0,0.0,0.0,10.0
1407432756381443252,0.0,0.0,0.0,0.0,0.0,10.0
1407432756381494307,0.0,0.0,0.0,0.0,0.0,10.0
1407432756381544183,0.0,0.0,0.0,0.0,0.0,10.0
